Country,Region,Population,Area_sq_mi,Pop_Density_sq_mi,Coastline,Net_migration,Infant_mortality_per1000births,GDP,Literacy,Phones_1000),Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,2.088,-272,4.311,1200,79.3,36.2,625,4.896,4.479,2,4.025,647,167,148,684
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,13,-271,1.324,11800,78.8,140.6,167,9,9.824,1,2.934,258,33,613,354
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,27,0.2,5.551,1600,40.2,22.2,1.278,21,8.701,2,3.278,942,172,209,619
Serbia ,EASTERN EUROPE                     ,9396411,88361,106.3,0,-133,1.289,2200,93.0,285.8,3.335,3.2,6.345,,,,166,255,579
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,179.2,10.791,-569,1.553,7800,58.0,262.4,222,1.333,8.445,2,1.603,629,32,304,665
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,56,0,14.364,500,31.4,4.0,698,89,9.213,2,4.576,2.303,49,31,21
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,2.785,1.153,229,23700,92.5,411.4,164,0,9.836,2,934,428,0,339,661
Slovakia ,EASTERN EUROPE                     ,5439448,48845,111.4,0,0.3,741,13300,,220.1,3.016,262,6.722,3,1.065,945,35,294,672
Slovenia ,EASTERN EUROPE                     ,2010347,20273,99.2,23,112,445,19000,99.7,406.1,8.6,149,8.991,,898,1.031,28,369,603
Solomon Islands ,OCEANIA                            ,552438,28450,19.4,1.867,0,2.129,1700,,13.4,64,2,9.736,2,3.001,392,42,11,47
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,47,537,116.7,500,37.8,11.3,167,4,9.829,1,4.513,1.663,65,0.1,25
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,23,-29,6.181,10700,86.4,107.0,1.208,79,8.713,1,18.2,22,25,303,671
Spain ,WESTERN EUROPE                     ,40397842,504782,80.0,98,99,442,22000,97.9,453.5,2.607,987,6.406,3,1.006,972,4,295,665
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,204,-131,1.435,3700,92.3,61.5,1.386,15.7,7.044,2,1.551,652,178,276,545
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,3,-2,62.5,1900,61.1,16.3,683,18,9.299,2,3.453,897,387,203,41
Suriname ,LATIN AMER. & CARIB    ,439117,163270,2.7,24,-881,2.357,4000,93.0,184.7,37,6,9.957,2,1.802,727,13,22,65
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,0,0,6.927,4900,81.6,30.8,1.035,0.7,8.895,2.5,2.741,2.974,119,515,366
Sweden ,WESTERN EUROPE                     ,9016596,449964,20.0,72,167,277,26800,99.0,715.0,654,1,9.345,3,1.027,1.031,11,282,707
Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,0,405,439,32700,99.0,680.9,1.042,61,8.897,3,971,849,15,34,645
Syria ,NEAR EAST                          ,18881361,185180,102.0,10,0,2.953,3300,76.9,153.8,2.522,443,7.035,1,2.776,481,249,23,519
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,435,0,6.4,23400,96.1,591.0,24,1,75,2,1.256,648,18,259,723
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,51.2,0,-286,11.076,1000,99.4,33.5,661,92,9.247,2,3.265,825,234,286,48
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,15,-206,9.854,600,78.2,4.0,452,108,94.4,,3.771,1.639,432,172,396
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,63,0,2.048,7400,92.6,108.9,2.936,646,6.418,2,1.387,704,99,441,46
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,10,0,6.661,1500,60.9,10.6,4.615,221,5.164,2,3.701,983,395,204,401
Tonga ,OCEANIA                            ,114689,748,153.3,5.602,0,1.262,2200,98.5,97.7,2.361,4.306,3.333,2,2.537,528,23,27,0.5
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,207.9,706,-1.083,2.431,9500,98.6,303.5,1.462,916,7.622,2,12.9,1.057,7,57,423
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,70,-57,2.477,6900,74.2,123.6,1.786,1.374,68.4,3,1.552,513,132,318,55
Turkey ,NEAR EAST                          ,70413958,780580,90.2,92,0,4.104,6700,86.5,269.5,3.093,331,6.576,3,1.662,597,117,298,585
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,10.3,0,-86,7.308,5800,98.0,74.6,372,14,9.614,1,2.761,8.6,209,38,411
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,49.2,9.047,1.168,1.567,9600,98.0,269.5,233,0,9.767,2,2.184,421,,,
Tuvalu ,OCEANIA                            ,11810,26,454.2,9.231,0,2.003,1100,,59.3,0,0,100,2,2.218,711,166,272,562
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0,0,6.783,1400,69.9,3.6,2.588,1.065,6.347,2,4.735,1.224,311,222,469
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,46,-39,2.034,5400,99.7,259.9,5.621,161,4.218,3,882,1.439,187,452,361
United Arab Emirates ,NEAR EAST                          ,2602713,82880,31.4,159,103,1.451,23200,77.9,475.3,0.6,225,9.715,1,1.896,4.4,4,585,375
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,508,219,516,27700,99.0,543.5,2.346,21,7.633,3,1.071,1.013,5,237,758
United States ,NORTHERN AMERICA                   ,298444215,9631420,31.0,21,341,6.5,37800,97.0,898.0,1.913,22,8.065,3,1.414,826,1,204,787
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,19.5,37,-32,1.195,12800,98.0,291.4,743,23,9.234,3,1.391,905,93,311,596
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61.0,0,-172,71.1,1700,99.3,62.9,1.083,83,8.834,1,2.636,784,342,229,43
Vanuatu ,OCEANIA                            ,208869,12200,17.1,2.072,0,5.516,2900,53.0,32.6,246,738,9.016,2,2.272,782,26,12,62
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,31,-4,22.2,4800,93.4,140.1,295,92,9.613,2,1.871,492,4,419,541
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,105,-45,2.595,2500,90.3,187.7,1.997,595,7.408,2,1.686,622,209,41,381
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,56.9,984,-894,803,17200,,652.8,1.176,294,85.3,2,1.396,643,1,19,0.8
Wallis and Futuna ,OCEANIA                            ,16025,274,58.5,4.708,,,3700,50.0,118.6,5,25,70,2,,,,,
West Bank ,NEAR EAST                          ,2460492,5860,419.9,0,298,1.962,800,,145.2,16.9,1.897,6.413,3,3.167,392,9,28,63
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,1.0,42,,,,,,2,0,9.998,1,,,,,0.4
Yemen ,NEAR EAST                          ,21456188,527970,40.6,36,0,61.5,800,50.2,37.2,278,24,9.698,1,4.289,8.3,135,472,393
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0,0,8.829,800,80.6,8.2,708,3,92.9,2,41,1.993,22,29,489
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0,0,6.769,1900,90.7,26.8,832,34,9.134,2,2.801,2.184,179,243,579
